Suburb,Total
Eighteen Mile,0
Elands,26
Elanora Heights,93
Elcombe,0
Elderslie (Camden),279
Elderslie (Singleton),2
Eleebana,143
Elermore Vale,248
Elizabeth Bay,674
Elizabeth Beach,12
Elizabeth Hills,42
Ellalong,52
Elland,5
Ellangowan,15
Ellenborough,23
Ellerslie (Snowy Valleys),0
Ellerslie (Wentworth),0
Ellerston,1
Ellis Lane,15
Elong Elong,8
Elrington,7
Elsmore,10
Eltham,14
Elvina Bay,2
Emerald Beach,71
Emerald Hill,0
Emmaville,27
Empire Bay,104
Empire Vale,4
Emu Heights,95
Emu Plains,496
Emu Swamp,3
Enfield,105
Engadine,414
Englorie Park,13
Enmore (Armidale Regional),0
Enmore (Inner West),210
Enngonia,44
Environa,0
Epping,1201
Eraring,17
Eremerang,0
Erigolia,2
Erin Vale,1
Erina,689
Erina Heights,23
Ermington,533
Erowal Bay,16
Errowanbang,0
Erskine Park,268
Erskineville,524
Erudgere,0
Eschol Park,86
Esk,3
Essington,3
Estella,58
Ettalong Beach,488
Ettamogah,13
Ettrema,0
Ettrick,4
Euabalong,15
Euabalong West,1
Euberta,2
Euchareena,5
Eucumbene,2
Eugowra,51
Eulah Creek,2
Eumungerie,34
Eunanoreenya,2
Eungai Creek,18
Eungai Rail,11
Eungella,9
Eureka,11
Eurimbla,2
Eurobodalla,8
Euroka,6
Euroley,2
Eurongilly,2
Eurunderee,2
Euston,57
Evans Head,214
Evans Plains,7
Eveleigh,135
Eviron,8
Ewingar,2
Ewingsdale,37
Failford,15
Fairfield East,330
Fairfield Heights,342
Fairfield West,436
Fairholme,1
Fairlight,133
Fairy Hill,4
Falbrook,0
Falconer,1
Falls Creek,32
Far Meadow,7
Fargunyah,1
Farley,26
Farmborough Heights,71
Farnham,1
Farrants Hill,1
Farringdon,1
Faulconbridge,158
Faulkland,2
Fawcetts Plain,0
Federal,27
Fennell Bay,86
Fern Bay,74
Fern Gully,1
Fernances,2
Fernances Crossing,1
Fernbank Creek,10
Fernbrook,4
Fernhill,58
Fernleigh,6
Fernmount,15
Fernside,5
Fernvale,10
Fiddletown,5
Fifield,7
Findon Creek,0
Fine Flower,1
Fingal Bay,66
Fingal Head,108
Finley,144
Firefly,3
Fishermans Bay,11
Fishermans Paradise,13
Fishermans Reach,18
Fishers Hill,1
Fishing Point,20
Fitzgeralds Mount,3
Fitzgeralds Valley,0
Fitzroy Falls,9
Five Dock,553
Five Ways,0
Flat Tops,2
Fletcher,180
Flinders,206
Floraville,45
Forbes Creek,4
Forbes River,1
Forbesdale,5
Fords Bridge,9
Fordwich,5
Forest Glen,1
Forest Grove,0
Forest Hill,153
Forest Land,0
Forest Lodge,198
Forest Reefs,7
Forestville,172
Forresters Beach,111
Forster,1567
Fortis Creek,4
Fosters Valley,1
Fosterton,1
Fountaindale,39
Four Corners,0
Four Mile Creek,0
Fowlers Gap,0
Foxground,1
Frazer Park,6
Frazers Creek,4
Frederickton,78
Freemans,2
Freemans Reach,79
Freemantle,2
French Park,0
Frenchs Forest,282
Freshwater,238
Frog Rock,0
Frogmore,5
Frogs Hollow,5
Frying Pan,0
Fullerton,2
Fullerton Cove,19
Furracabad,0
Gadara,0
Gala Vale,0
Galambine,0
Galong,18
Galore,2
Galston,113
Ganbenang,0
Gangat,0
Ganmain,66
Garah,21
Garden Suburb,21
Garema,5
Garland,3
Garland Valley,0
Garoo,6
Garra,2
Garthowen,3
