Postcode,Suburb,Direction,Distance (km),Latitude,Longitude,Population,Density (/km2),Area (km2),Total Crime,House Median Price,House Rent (PW),Unit Median Price,Unit Rent (PW),House Price 2018,House Price 2017,House Price Change (1 yr),Unit Price 2018,Unit Price 2017,Unit Price Change (1 yr),Arts & Entertainment,College & University,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Shop & Service,Travel & Transport
2083,Brooklyn,North,35.6,-33.548059999999964,151.2261500000001,722,85.5,8.7 ,209,1040000,no data,no data,no data,1050000,800000,31.25,825000,468750,76.0,0,0,3,1,3,0,0,4
2100,Brookvale,North-east,12.8,-33.76112999999998,151.27368,3161,,,977,1140040,750 ,805000,550 ,1140044,1400000,-18.57,820000,843250,-2.76,0,0,3,3,1,0,1,0
2262,Budgewoi,North-east,77.5,-33.232609999999966,151.54894000000004,3360,,,368,512500,350 ,no data,290 ,512500,487500,5.13,357500,354000,0.99,0,0,0,0,2,0,0,0
2262,Buff Point,North-east,77.8,-33.22635999999994,151.5367500000001,3285,1564.0,2.1 ,174,500500,393 ,no data,no data,508500,540000,-5.83,263750,0,0.0,0,0,0,0,1,0,0,0
2516,Bulli,South-west,58.6,-34.333649999999984,150.9132900000001,6105,,,451,960000,568 ,no data,420 ,1010000,1156000,-12.63,665000,680000,-2.21,0,0,2,1,0,0,1,1
2230,Bundeena,South,24.7,-34.084149999999966,151.14633999999998,1919,1010.0,1.9 ,90,971000,665 ,no data,no data,952500,930000,2.42,0,0,0.0,0,0,3,0,3,0,1,1
1805,Burwood,West,9.6,-33.877689999999966,151.10548000000006,16030,8015.0,2 ,2446,1510000,650 ,819000,570 ,1525000,1942500,-21.49,823000,850000,-3.18,2,0,44,2,2,0,14,0
2136,Burwood Heights,West,9.8,-33.887949999999925,151.10433000000015,989,3297.0,0.3 ,27,no data,630 ,no data,550 ,2300000,2385000,-3.56,277875,728500,-61.86,0,0,3,1,0,0,0,0
2168,Busby,West,31.1,-33.91075999999998,150.88085,4290,,,377,630000,380 ,no data,no data,630000,649500,-3.0,0,0,0.0,0,0,1,0,0,0,0,1
2283,Buttaba,North,97.0,-33.05304999999993,151.5794900000001,946,,,39,635000,393 ,no data,no data,630000,545000,15.6,0,0,0.0,0,0,0,0,1,0,0,0
2166,Cabramatta,West,25.3,-33.89497999999997,150.93853,21783,4841.0,4.5 ,4538,901000,400 ,425000,330 ,830000,890000,-6.74,430000,440000,-2.27,0,0,34,1,0,0,2,1
2747,Cambridge Park,West,46.4,-33.747609999999945,150.72098000000003,6726,2557.0,2.63 ,362,630000,400 ,521000,390 ,625250,641000,-2.46,521000,535000,-2.62,0,0,4,0,0,0,0,0
2570,Camden,West,51.6,-34.055719999999944,150.69365000000005,3230,,,406,690000,450 ,no data,395 ,692500,772500,-10.36,495000,413750,19.64,0,0,9,0,0,0,1,0
2570,Camden Park,West,51.1,-34.09705999999994,150.69576000000006,2238,,,28,972000,625 ,no data,no data,1010000,937500,7.73,0,0,0.0,0,0,0,0,0,0,2,0
2062,Cammeray,North,5.0,-33.82224999999994,151.21036999999998,7006,4671.0,1.5 ,199,2260000,800 ,1080000,550 ,2167500,2297500,-5.66,1105000,1227500,-9.98,0,0,13,2,3,0,4,2
2560,Campbelltown,South-west,42.7,-34.064079999999926,150.81658000000004,12566,,,8510,602500,400 ,451000,400 ,605000,650000,-6.92,460000,470000,-2.13,0,0,7,1,1,0,2,0
1450,Camperdown,South-west,3.7,-33.888059999999946,151.18321000000003,10341,4362.7,1.5 ,1190,1512500,775 ,805000,600 ,1490000,1310500,13.7,827500,832500,-0.6,2,0,11,3,1,0,3,0
2194,Campsie,West,10.7,-33.90672999999998,151.1031700000001,24541,,,2991,1200000,580 ,594000,450 ,1140000,1295000,-11.97,592750,619000,-4.24,0,0,7,0,1,0,0,0
2046,Canada Bay,West,8.4,-33.86284999999998,151.11585000000005,1238,,,34,no data,750 ,no data,560 ,1750000,1625000,7.69,862500,1120000,-22.99,0,0,1,0,3,0,0,0
2166,Canley Heights,West,26.2,-33.88380999999998,150.9252700000001,10974,4221.0,2.6 ,583,810000,460 ,no data,380 ,810000,830000,-2.41,710000,640000,10.94,0,0,19,1,1,0,1,0
2166,Canley Vale,West,24.5,-33.88704999999993,150.94260000000008,10216,3405.0,3 ,704,850000,423 ,421000,340 ,855000,831000,2.89,421000,412600,2.04,0,0,14,2,1,0,0,2
2193,Canterbury,South-west,9.3,-33.91386999999997,151.1150100000001,7233,,,567,1127500,600 ,700000,500 ,1150000,1350000,-14.81,705000,707000,-0.28,0,0,6,1,3,0,2,3
2285,Cardiff,North,111.5,-32.941869999999945,151.6641800000001,5830,1525.3,3.8 ,1556,499975,390 ,450000,350 ,500000,476875,4.85,449000,438000,2.51,0,0,1,1,0,0,2,1
1495,Caringbah,South,21.1,-34.04283999999996,151.12081000000012,11658,,,1435,1237500,700 ,685000,490 ,1250000,1400000,-10.71,690000,696750,-0.97,0,0,11,1,2,0,4,1
2118,Carlingford,North-west,17.5,-33.778389999999945,151.0559800000001,24396,3088.0,7.9 ,708,1350000,600 ,685000,500 ,1350000,1415000,-4.59,685000,720000,-4.86,0,0,16,0,1,0,8,0
2218,Carlton,South-west,13.6,-33.973679999999945,151.1294600000001,10722,,,467,1237500,600 ,643000,480 ,1250000,1325000,-5.66,644000,678000,-5.01,1,0,6,1,3,0,3,0
2163,Carramar,West,22.7,-33.884849999999965,150.9675000000001,3550,,,455,730000,395 ,298000,300 ,730000,767500,-4.89,305000,375000,-18.67,0,0,2,0,0,0,0,0
2221,Carss Park,South-west,15.6,-33.984399999999944,151.11611000000005,1252,,,48,1478400,705 ,no data,no data,1478400,1589000,-6.96,870000,0,0.0,0,0,4,0,1,0,0,0
2168,Cartwright,West,30.0,-33.92543999999998,150.8901400000001,2370,,,284,641000,420 ,no data,400 ,660000,660000,0.0,0,0,0.0,1,0,1,0,2,0,1,0
2069,Castle Cove,North,9.3,-33.78164999999996,151.2016000000001,2554,1110.0,2.3 ,34,2681100,"1,223 ",no data,no data,2681100,2534000,5.81,0,0,0.0,0,0,3,0,1,0,2,0
1765,Castle Hill,North-west,23.9,-33.731519999999925,151.0039200000001,39594,,,1631,1400000,630 ,850000,510 ,1395000,1620000,-13.89,857500,890000,-3.65,3,0,22,2,0,0,11,0
2068,Castlecrag,North,7.2,-33.802379999999964,151.21239000000003,2939,1772.5,1.5 ,34,2725000,"1,200 ",no data,no data,2750000,3067500,-10.35,0,0,0.0,0,0,6,0,1,0,1,0
2170,Casula,West,29.1,-33.94943999999998,150.90381000000005,15662,,,1234,750500,473 ,565000,430 ,767000,830000,-7.59,581250,600000,-3.12,0,0,5,0,0,0,6,0
2756,Cattai,North-west,44.0,-33.560149999999965,150.90750000000003, 790,,,22,no data,650 ,no data,no data,1625000,1600000,1.56,0,0,0.0,0,0,0,0,1,0,0,0
2281,Caves Beach,North-east,93.6,-33.10075999999998,151.6455500000001,4054,94.0,43 ,150,838500,495 ,no data,480 ,845500,790000,7.03,635000,527000,20.49,0,0,2,0,0,0,0,1
2171,Cecil Hills,West,32.8,-33.89394999999996,150.8563300000001,7018,,,180,910000,495 ,no data,no data,920000,840000,9.52,501500,612500,-18.12,0,0,1,0,0,0,0,0
2021,Centennial Park,South-east,3.8,-33.89820999999995,151.2330300000001,2376,1080.0,2.2 ,437,no data,no data,755000,540 ,3850000,5487500,-29.84,719000,787000,-8.64,1,0,5,0,2,0,0,1
